,Date,Lat,Long,Confirmed,Deaths,Recovered,Active
209,2020-01-22,10.6918,-61.2225,0,0,0,0
210,2020-01-22,33.886917,9.537499,0,0,0,0
211,2020-01-22,38.9637,35.2433,0,0,0,0
212,2020-01-22,1.373333,32.290275,0,0,0,0
213,2020-01-22,48.3794,31.1656,0,0,0,0
214,2020-01-22,23.424076,53.847818,0,0,0,0
215,2020-01-22,32.3078,-64.7505,0,0,0,0
216,2020-01-22,19.3133,-81.2546,0,0,0,0
217,2020-01-22,49.3723,-2.3644,0,0,0,0
218,2020-01-22,36.1408,-5.3536,0,0,0,0
219,2020-01-22,54.2361,-4.5481,0,0,0,0
220,2020-01-22,16.742498,-62.187366,0,0,0,0
221,2020-01-22,55.3781,-3.4360000000000004,0,0,0,0
222,2020-01-22,-32.5228,-55.7658,0,0,0,0
223,2020-01-22,40.0,-100.0,1,0,0,1
224,2020-01-22,41.377491,64.585262,0,0,0,0
225,2020-01-22,6.4238,-66.5897,0,0,0,0
226,2020-01-22,14.058324,108.277199,0,0,0,0
227,2020-01-22,-13.133897,27.849332,0,0,0,0
228,2020-01-22,-19.015438,29.154857,0,0,0,0
229,2020-01-22,15.415,-61.371,0,0,0,0
230,2020-01-22,12.1165,-61.679,0,0,0,0
231,2020-01-22,-18.665695,35.529562,0,0,0,0
232,2020-01-22,34.802075,38.99681500000001,0,0,0,0
233,2020-01-22,-8.874217,125.727539,0,0,0,0
234,2020-01-22,17.1899,-88.4976,0,0,0,0
235,2020-01-22,19.85627,102.495496,0,0,0,0
236,2020-01-22,26.3351,17.228331,0,0,0,0
237,2020-01-22,31.9522,35.2332,0,0,0,0
238,2020-01-22,11.8037,-15.1804,0,0,0,0
239,2020-01-22,17.570692,-3.996166000000001,0,0,0,0
240,2020-01-22,17.357822,-62.782998,0,0,0,0
241,2020-01-22,64.8255,-124.8457,0,0,0,0
242,2020-01-22,64.2823,-135.0,0,0,0,0
243,2020-01-22,42.602636,20.902977,0,0,0,0
244,2020-01-22,21.9162,95.956,0,0,0,0
245,2020-01-22,18.2206,-63.0686,0,0,0,0
246,2020-01-22,18.4207,-64.64,0,0,0,0
247,2020-01-22,21.69400000000001,-71.7979,0,0,0,0
248,2020-01-22,-22.3285,24.6849,0,0,0,0
249,2020-01-22,-3.3731,29.9189,0,0,0,0
250,2020-01-22,8.460555000000001,-11.779889,0,0,0,0
251,2020-01-22,-13.2543,34.3015,0,0,0,0
252,2020-01-22,-51.7963,-59.5236,0,0,0,0
253,2020-01-22,46.8852,-56.3159,0,0,0,0
254,2020-01-22,6.877000000000002,31.307,0,0,0,0
255,2020-01-22,24.2155,-12.8858,0,0,0,0
256,2020-01-22,0.1864,6.6131,0,0,0,0
257,2020-01-22,15.552727,48.516388,0,0,0,0
258,2020-01-22,-11.6455,43.3333,0,0,0,0
259,2020-01-22,38.861,71.2761,0,0,0,0
260,2020-01-22,-29.61,28.2336,0,0,0,0
261,2020-01-23,33.93911,67.709953,0,0,0,0
262,2020-01-23,41.1533,20.1683,0,0,0,0
263,2020-01-23,28.0339,1.6596,0,0,0,0
264,2020-01-23,42.5063,1.5218,0,0,0,0
265,2020-01-23,-11.2027,17.8739,0,0,0,0
266,2020-01-23,17.0608,-61.7964,0,0,0,0
267,2020-01-23,-38.4161,-63.6167,0,0,0,0
268,2020-01-23,40.0691,45.0382,0,0,0,0
269,2020-01-23,-35.4735,149.0124,0,0,0,0
270,2020-01-23,-33.8688,151.2093,0,0,0,0
271,2020-01-23,-12.4634,130.8456,0,0,0,0
272,2020-01-23,-27.4698,153.0251,0,0,0,0
273,2020-01-23,-34.9285,138.6007,0,0,0,0
274,2020-01-23,-42.8821,147.3272,0,0,0,0
275,2020-01-23,-37.8136,144.9631,0,0,0,0
276,2020-01-23,-31.9505,115.8605,0,0,0,0
277,2020-01-23,47.5162,14.5501,0,0,0,0
278,2020-01-23,40.1431,47.5769,0,0,0,0
279,2020-01-23,25.025885,-78.035889,0,0,0,0
280,2020-01-23,26.0275,50.55,0,0,0,0
281,2020-01-23,23.685,90.3563,0,0,0,0
282,2020-01-23,13.1939,-59.5432,0,0,0,0
283,2020-01-23,53.7098,27.9534,0,0,0,0
284,2020-01-23,50.8333,4.469936,0,0,0,0
285,2020-01-23,9.3077,2.3158,0,0,0,0
286,2020-01-23,27.5142,90.4336,0,0,0,0
287,2020-01-23,-16.2902,-63.5887,0,0,0,0
288,2020-01-23,43.9159,17.6791,0,0,0,0
289,2020-01-23,-14.235,-51.9253,0,0,0,0
290,2020-01-23,4.5353,114.7277,0,0,0,0
291,2020-01-23,42.7339,25.4858,0,0,0,0
292,2020-01-23,12.2383,-1.5616,0,0,0,0
293,2020-01-23,16.5388,-23.0418,0,0,0,0
294,2020-01-23,11.55,104.9167,0,0,0,0
295,2020-01-23,3.848,11.5021,0,0,0,0
296,2020-01-23,53.9333,-116.5765,0,0,0,0
297,2020-01-23,53.7267,-127.6476,0,0,0,0
298,2020-01-23,53.7609,-98.8139,0,0,0,0
299,2020-01-23,46.5653,-66.4619,0,0,0,0
300,2020-01-23,53.1355,-57.6604,0,0,0,0
301,2020-01-23,44.682,-63.7443,0,0,0,0
302,2020-01-23,51.2538,-85.3232,0,0,0,0
303,2020-01-23,46.5107,-63.4168,0,0,0,0
304,2020-01-23,52.9399,-73.5491,0,0,0,0
305,2020-01-23,52.9399,-106.4509,0,0,0,0
306,2020-01-23,6.6111,20.9394,0,0,0,0
307,2020-01-23,15.4542,18.7322,0,0,0,0
308,2020-01-23,-35.6751,-71.543,0,0,0,0
309,2020-01-23,31.8257,117.2264,9,0,0,9
310,2020-01-23,40.1824,116.4142,22,0,0,22
311,2020-01-23,30.0572,107.874,9,0,0,9
312,2020-01-23,26.0789,117.9874,5,0,0,5
313,2020-01-23,35.7518,104.2861,2,0,0,2
314,2020-01-23,23.3417,113.4244,32,0,2,30
315,2020-01-23,23.8298,108.7881,5,0,0,5
316,2020-01-23,26.8154,106.8748,3,0,0,3
317,2020-01-23,19.1959,109.7453,5,0,0,5
318,2020-01-23,39.549,116.1306,1,1,0,0
319,2020-01-23,47.862,127.7615,2,0,0,2
320,2020-01-23,37.8957,114.9042,5,0,0,5
321,2020-01-23,22.3,114.2,2,0,0,2
322,2020-01-23,30.9756,112.2707,444,17,28,399
323,2020-01-23,27.6104,111.7088,9,0,0,9
324,2020-01-23,44.0935,113.9448,0,0,0,0
325,2020-01-23,32.9711,119.455,5,0,0,5
326,2020-01-23,27.614,115.7221,7,0,0,7
327,2020-01-23,43.6661,126.1923,1,0,0,1
328,2020-01-23,41.2956,122.6085,3,0,0,3
329,2020-01-23,22.1667,113.55,2,0,0,2
330,2020-01-23,37.2692,106.1655,1,0,0,1
331,2020-01-23,35.7452,95.9956,0,0,0,0
332,2020-01-23,35.1917,108.8701,3,0,0,3
333,2020-01-23,36.3427,118.1498,6,0,0,6
334,2020-01-23,31.202,121.4491,16,0,0,16
335,2020-01-23,37.5777,112.2922,1,0,0,1
336,2020-01-23,30.6171,102.7103,8,0,0,8
337,2020-01-23,39.3054,117.323,4,0,0,4
338,2020-01-23,31.6927,88.0924,0,0,0,0
339,2020-01-23,41.1129,85.2401,2,0,0,2
340,2020-01-23,24.974,101.487,2,0,0,2
341,2020-01-23,29.1832,120.0934,27,0,0,27
342,2020-01-23,4.5709,-74.2973,0,0,0,0
343,2020-01-23,-0.228,15.8277,0,0,0,0
344,2020-01-23,-4.0383,21.7587,0,0,0,0
345,2020-01-23,9.7489,-83.7534,0,0,0,0
346,2020-01-23,7.54,-5.5471,0,0,0,0
347,2020-01-23,45.1,15.2,0,0,0,0
348,2020-01-23,21.521757,-77.78116700000002,0,0,0,0
349,2020-01-23,35.1264,33.4299,0,0,0,0
350,2020-01-23,49.8175,15.473,0,0,0,0
351,2020-01-23,61.8926,-6.9118,0,0,0,0
352,2020-01-23,71.7069,-42.6043,0,0,0,0
353,2020-01-23,56.2639,9.5018,0,0,0,0
354,2020-01-23,11.8251,42.5903,0,0,0,0
355,2020-01-23,18.7357,-70.1627,0,0,0,0
356,2020-01-23,-1.8312,-78.1834,0,0,0,0
357,2020-01-23,26.820553000000004,30.802498,0,0,0,0
358,2020-01-23,13.7942,-88.8965,0,0,0,0
359,2020-01-23,1.6508,10.2679,0,0,0,0
360,2020-01-23,15.1794,39.7823,0,0,0,0
361,2020-01-23,58.5953,25.0136,0,0,0,0
362,2020-01-23,-26.5225,31.4659,0,0,0,0
363,2020-01-23,9.145,40.4897,0,0,0,0
364,2020-01-23,-17.7134,178.065,0,0,0,0
365,2020-01-23,61.92411,25.748151,0,0,0,0
366,2020-01-23,3.9339,-53.1258,0,0,0,0
367,2020-01-23,-17.6797,149.4068,0,0,0,0
368,2020-01-23,16.265,-61.551,0,0,0,0
369,2020-01-23,-12.8275,45.166244,0,0,0,0
370,2020-01-23,-20.904305,165.618042,0,0,0,0
371,2020-01-23,-21.1151,55.5364,0,0,0,0
372,2020-01-23,17.9,-62.8333,0,0,0,0
373,2020-01-23,18.0708,-63.0501,0,0,0,0
374,2020-01-23,14.6415,-61.0242,0,0,0,0
375,2020-01-23,46.2276,2.2137,0,0,0,0
376,2020-01-23,-0.8037,11.6094,0,0,0,0
377,2020-01-23,13.4432,-15.3101,0,0,0,0
378,2020-01-23,42.3154,43.3569,0,0,0,0
379,2020-01-23,51.165691,10.451526,0,0,0,0
380,2020-01-23,7.9465,-1.0232,0,0,0,0
381,2020-01-23,39.0742,21.8243,0,0,0,0
382,2020-01-23,15.7835,-90.2308,0,0,0,0
383,2020-01-23,9.9456,-9.6966,0,0,0,0
384,2020-01-23,4.860416000000002,-58.93018000000001,0,0,0,0
385,2020-01-23,18.9712,-72.2852,0,0,0,0
386,2020-01-23,41.9029,12.4534,0,0,0,0
387,2020-01-23,15.2,-86.2419,0,0,0,0
388,2020-01-23,47.1625,19.5033,0,0,0,0
389,2020-01-23,64.9631,-19.0208,0,0,0,0
390,2020-01-23,20.593684,78.96288,0,0,0,0
391,2020-01-23,-0.7893,113.9213,0,0,0,0
392,2020-01-23,32.427908,53.68804599999999,0,0,0,0
393,2020-01-23,33.223191,43.679291,0,0,0,0
394,2020-01-23,53.1424,-7.6921,0,0,0,0
395,2020-01-23,31.046051,34.851612,0,0,0,0
396,2020-01-23,41.87194,12.56738,0,0,0,0
397,2020-01-23,18.1096,-77.2975,0,0,0,0
398,2020-01-23,36.204824,138.252924,2,0,0,2
399,2020-01-23,31.24,36.51,0,0,0,0
400,2020-01-23,48.0196,66.9237,0,0,0,0
401,2020-01-23,-0.0236,37.9062,0,0,0,0
402,2020-01-23,35.90775700000001,127.766922,1,0,0,1
403,2020-01-23,29.31166,47.481766,0,0,0,0
404,2020-01-23,41.20438,74.766098,0,0,0,0
405,2020-01-23,56.8796,24.6032,0,0,0,0
406,2020-01-23,33.8547,35.8623,0,0,0,0
407,2020-01-23,6.4280550000000005,-9.429499,0,0,0,0
408,2020-01-23,47.14,9.55,0,0,0,0
409,2020-01-23,55.1694,23.8813,0,0,0,0
410,2020-01-23,49.8153,6.1296,0,0,0,0
411,2020-01-23,-18.766947,46.869107,0,0,0,0
412,2020-01-23,4.210483999999999,101.975766,0,0,0,0
413,2020-01-23,3.2028,73.2207,0,0,0,0
414,2020-01-23,35.9375,14.3754,0,0,0,0
415,2020-01-23,21.0079,-10.9408,0,0,0,0
416,2020-01-23,-20.348404,57.552152,0,0,0,0
417,2020-01-23,23.6345,-102.5528,0,0,0,0
418,2020-01-23,47.4116,28.3699,0,0,0,0
419,2020-01-23,43.7333,7.4167,0,0,0,0
420,2020-01-23,46.8625,103.8467,0,0,0,0
421,2020-01-23,42.708678000000006,19.37439,0,0,0,0
422,2020-01-23,31.7917,-7.0926,0,0,0,0
423,2020-01-23,-22.9576,18.4904,0,0,0,0
424,2020-01-23,28.1667,84.25,0,0,0,0
425,2020-01-23,12.5211,-69.9683,0,0,0,0
426,2020-01-23,12.1696,-68.99,0,0,0,0
427,2020-01-23,18.0425,-63.0548,0,0,0,0
428,2020-01-23,52.1326,5.2913,0,0,0,0
429,2020-01-23,-40.9006,174.886,0,0,0,0
430,2020-01-23,12.865416,-85.207229,0,0,0,0
431,2020-01-23,17.607789,8.081666,0,0,0,0
432,2020-01-23,9.082,8.6753,0,0,0,0
433,2020-01-23,41.6086,21.7453,0,0,0,0
434,2020-01-23,60.472,8.4689,0,0,0,0
435,2020-01-23,21.512583,55.92325500000001,0,0,0,0
436,2020-01-23,30.3753,69.3451,0,0,0,0
437,2020-01-23,8.538,-80.7821,0,0,0,0
438,2020-01-23,-6.314993,143.95555,0,0,0,0
439,2020-01-23,-23.4425,-58.4438,0,0,0,0
440,2020-01-23,-9.19,-75.0152,0,0,0,0
441,2020-01-23,12.879721,121.774017,0,0,0,0
442,2020-01-23,51.9194,19.1451,0,0,0,0
443,2020-01-23,39.3999,-8.2245,0,0,0,0
444,2020-01-23,25.3548,51.1839,0,0,0,0
445,2020-01-23,45.9432,24.9668,0,0,0,0
446,2020-01-23,61.52401,105.318756,0,0,0,0
447,2020-01-23,-1.9403,29.8739,0,0,0,0
448,2020-01-23,13.9094,-60.9789,0,0,0,0
449,2020-01-23,12.9843,-61.2872,0,0,0,0
450,2020-01-23,43.9424,12.4578,0,0,0,0
451,2020-01-23,23.885942,45.079162,0,0,0,0
452,2020-01-23,14.4974,-14.4524,0,0,0,0
453,2020-01-23,44.0165,21.0059,0,0,0,0
454,2020-01-23,-4.6796,55.492,0,0,0,0
455,2020-01-23,1.2833,103.8333,1,0,0,1
456,2020-01-23,48.669,19.699,0,0,0,0
457,2020-01-23,46.1512,14.9955,0,0,0,0
458,2020-01-23,5.152149,46.199616,0,0,0,0
459,2020-01-23,-30.5595,22.9375,0,0,0,0
460,2020-01-23,40.463667,-3.74922,0,0,0,0
461,2020-01-23,7.873054,80.77179699999998,0,0,0,0
462,2020-01-23,12.8628,30.2176,0,0,0,0
463,2020-01-23,3.9193,-56.0278,0,0,0,0
464,2020-01-23,60.128161,18.643501,0,0,0,0
465,2020-01-23,46.8182,8.2275,0,0,0,0
466,2020-01-23,23.7,121.0,1,0,0,1
467,2020-01-23,-6.369028,34.888822,0,0,0,0
468,2020-01-23,15.870032,100.992541,3,0,0,3
469,2020-01-23,8.6195,0.8248,0,0,0,0
470,2020-01-23,10.6918,-61.2225,0,0,0,0
471,2020-01-23,33.886917,9.537499,0,0,0,0
472,2020-01-23,38.9637,35.2433,0,0,0,0
473,2020-01-23,1.373333,32.290275,0,0,0,0
474,2020-01-23,48.3794,31.1656,0,0,0,0
475,2020-01-23,23.424076,53.847818,0,0,0,0
476,2020-01-23,32.3078,-64.7505,0,0,0,0
477,2020-01-23,19.3133,-81.2546,0,0,0,0
478,2020-01-23,49.3723,-2.3644,0,0,0,0
479,2020-01-23,36.1408,-5.3536,0,0,0,0
